Sr.,Particulars,Qty,Rate,Total,Date,Company,,
583,back  Cover  70,828,30,24840,,,,
584,Housing  70 black,210,10,2100,,,,
585,,,,48396,,,,
586,Upper cover window,735,36,26460,6/6/2013,,,
587,back  Cover  70,750,30,22500,,,,
588,Housing  70 black,760,10,7600,,,,
589,,,,56560,,,,
590,Upper cover window,343,36,12348,6/7/2013,,,
591,back  Cover  70,240,30,7200,,,,
592,Housing  70 black,815,10,8150,,,,
593,Upper cover soharb js,396,45,17820,,,,
594,Dial blank Sohrab JS,1000,12,12000,,,,
595,,,,57518,,,,
596,upper Cover Window,309,36,11124,6/8/2013,,,
597,upper cover 70 New,182,36,6552,,,,
598,,,,17676,,,,
599,Upper Cover window,678,36,24408,6/10/2013,,,
600,Housing 70 black,192,10,1920,,,,
601,Upper Cover window,94,36,3384,,,,
602,Back  Cover  70,283,30,8490,,,,
603,Housing  70 black,1140,10,11400,,,,
604,,,,49602,,,,
605,Upper Cover window,282,36,10152,6/11/2013,,,
606,Back  Cover  70,358,30,10740,,,,
607,Housing  70 black,510,10,5100,,,,
608,,,,25992,,,,
609,Upper Cover window,455,36,16380,6/12/2013,,,
610,Back  Cover  70,655,30,19650,,,,
611,Housing  70 black,465,10,4650,,,,
612,,,,40680,,,,
613,Upper cover window,458,36,16488,6/13/2013,,,
614,back  Cover  70,247,30,7410,,,,
615,,,,23898,,,,
616,back  Cover  70,732,30,21960,6/15/2013,,,
617,Upper Cover window,368,36,13248,,,,
618,back  Cover  70,552,30,16560,,,,
619,Housing  70,756,10,7560,,,,
620,,,,59328,,,,
621,Upper Cover Window,1569,36,56484,6/17/2013,,,
622,Back  Cover  70,1171,30,35130,,,,
623,Housing  70 Black,508,10,5080,,,,
624,,,,96694,,,,
625,Upper Cover window,490,36,17640,6/19/2013,,,
626,Back  Cover  70,534,30,16020,,,,
627,back Cover 70 Hole,133,30,3990,,,,
628,Housing  70 black,642,10,6420,,,,
629,Housing Sohrab Js Black,200,33,6600,,,,
630,,,,50670,,,,
631,upper cover window,347,36,12492,6/21/2013,,,
632,back  Cover  70 hole,238,30,7140,,,,
633,Housing  70 Black,403,10,4030,,,,
634,,,,23662,,,,
635,Upper Cover Window,376,36,13536,6/22/2013,,,
636,Back  Cover  70,474,30,14220,,,,
637,Housing  70 black,280,10,2800,,,,
638,Housing sohrab JS black,255,33,8415,,,,
639,,,,38971,,,,
640,Upper Cover Window,489,36,17604,6/25/2013,,,
641,Back  Cover  70,102,30,3060,,,,
642,Housing  70 black,945,10,9450,,,,
643,,,,30114,,,,
644,Upper Cover Window,282,36,10152,6/27/2013,,,
645,Back  Cover  70,307,30,9210,,,,
646,Housing  70 black,560,10,5600,,,,
647,,,,24962,,,,
648,Upper Cover Window,583,36,20988,6/28/2013,,,
649,Back  Cover  70,408,30,12240,,,,
650,Housing  70 black,394,10,3940,,,,
651,,,,37168,,,,
652,Upper Cover Window,586,36,21096,7/1/2013,,,
653,Back  Cover  70,252,30,7560,,,,
654,Housing  70 black,555,10,5550,,,,
655,,,,34206,,,,
656,Back  Cover  70,691,30,20730,7/2/2013,,,
657,Upper Cover Window,678,36,24408,7/4/2013,,,
658,Back  Cover  70,664,30,19920,,,,
659,Housing  70 black,810,10,8100,,,,
660,,,,52428,,,,
661,Upper Cover Window,332,36,11952,7/7/2013,,,
662,Back  Cover  70,612,30,18360,,,,
663,Housing  70 black,554,10,5540,,,,
664,,,,35852,,,,
665,Upper Cover Window,811,36,29196,7/10/2013,,,
666,Back  Cover  70,861,30,25830,,,,
667,,,,55026,,,,
668,Upper Cover Window,159,36,5724,7/11/2013,,,
669,Back  Cover  70,546,30,16380,,,,
670,Housing  70 black,711,10,7110,,,,
671,,,,29214,,,,
672,Upper Cover Window,620,36,22320,7/12/2013,,,
673,Back  Cover  70,621,30,18630,,,,
674,Housing  70 black,570,10,5700,,,,
675,,,,46650,,,,
676,Upper Cover soharb js,330,45,14850,7/15/2013,,,
677,back Cover Sohrab JS,400,20,8000,,,,
678,Housing Sohrab js black,220,33,7260,,,,
679,Nest Sohrab,400,20,8000,,,,
680,,,,38110,,,,
681,Housing 70 Black,360,10,3600,7/14/2013,,,
682,upper Cover Window,76,36,2736,,,,
683,Housing 70 blue,140,10,1400,,,,
684,Cover set 125 New,100,125,12500,,,,
685,dial blank 125,400,8,3200,,,,
686,,,,23436,,,,
687,Upper Cover window,368,36,13248,7/17/2013,,,
688,back  Cover  70,1065,30,31950,,,,
689,Housing  70 Black,900,10,9000,,,,
690,,,,54198,,,,
691,Upper Cover window,745,36,26820,7/18/2013,,,
692,back  Cover  70,537,30,16110,,,,
693,Housing  70 Black,540,10,5400,,,,
694,,,,48330,,,,
695,Upper Cover window,538,36,19368,7/20/2013,,,
696,back  Cover  70,795,30,23850,,,,
697,Housing  70 Black,516,10,5160,,,,
698,Back  Cover  70,333,30,9990,,,,
699,Housing  70,360,10,3600,,,,
700,,,,61968,,,,
701,Upper Cover window,721,36,25956,7/22/2013,,,
702,back  Cover  70,453,30,13590,,,,
703,,,,39546,,,,
704,Upper Cover window,458,36,16488,7/23/2013,,,
705,upper Cover Unique,94,36,3384,,,,
706,Housing  70 black,418,10,4180,,,,
707,Housing  70 Black,180,10,1800,,,,
708,,,,25852,,,,
709,Back  Cover  70,555,30,16650,7/24/2013,,,
710,Housing  70,500,10,5000,,,,
711,,,,21650,,,,
712,upper cover Window,470,36,16920,7/25/2013,,,
713,Housing  70 black,720,10,7200,,,,
714,,,,24120,,,,
715,Upper cover window,533,36,19188,7/26/2013,,,
716,back  Cover  70,426,30,12780,,,,
717,Housing  70 Black,672,10,6720,,,,
718,,,,38688,,,,
719,Upper Cover Window,597,36,21492,7/30/2013,,,
720,Upper Cover 70 New,442,36,15912,,,,
721,back  Cover  70,408,30,12240,,,,
722,Housing  70 black,180,10,1800,,,,
723,,,,51444,,,,
724,upper Cover window,439,36,15804,7/31/2013,,,
725,Back  Cover  70,1041,30,31230,,,,
726,Housing  70 Black,360,10,3600,,,,
727,,,,50634,,,,
728,Upper Cover Window,606,36,21816,8/2/2013,,,
729,Housing 70 Black,720,10,7200,,,,
730,Upper Cover window,698,36,25128,,,,
731,Back  Cover  70,102,30,3060,,,,
732,,,,57204,,,,
733,Upper cover window,600,36,21600,8/3/2013,,,
734,back  Cover  70,813,30,24390,,,,
735,Housing  70 Black,810,10,8100,,,,
736,,,,54090,,,,
737,Upper cover window,376,36,13536,8/5/2013,,,
738,back  Cover  70,526,30,15780,,,,
739,Housing  70 Black,615,10,6150,,,,
740,,,,35466,,,,
741,Upper cover 70 new,459,36,16524,8/7/2013,,,
742,upper cover window,283,36,10188,,,,
743,back  Cover  70,600,30,18000,,,,
744,Housing  70 black,1026,10,10260,,,,
745,,,,54972,,,,
746,upper cover window,178,36,6408,8/15/2013,,,
747,back  Cover  70,288,30,8640,,,,
748,Housing  70 black,600,10,6000,,,,
749,,,,21048,,,,
750,upper cover window,581,36,20916,8/17/2013,,,
751,back  Cover  70,555,30,16650,,,,
752,Housing  70 black,390,10,3900,,,,
753,,,,41466,,,,
754,Back  Cover  70,777,30,23310,8/16/2013,,,
755,upper cover window,845,36,30420,8/19/2013,,,
756,back  Cover  70,895,30,26850,,,,
757,Housing  70 black,961,10,9610,,,,
758,,,,66880,,,,
759,upper cover window,460,36,16560,8/20/2013,,,
760,back  Cover  70,195,30,5850,,,,
761,Housing  70 ,180,10,1800,,,,
762,,,,24210,,,,
763,upper cover window,950,36,34200,8/22/2013,,,
764,back  Cover  70,994,30,29820,,,,
765,Housing  70 black,810,10,8100,,,,
766,Back Cover Sohrab,400,20,8000,,,,
767,Nest Red sohrab js,250,20,5000,,,,
768,,,,85120,,,,
769,Back  Cover  70,642,30,19260,8/26/2013,,,
770,Housing 70 Black,699,10,6990,,,,
771,Housing Sohrab Js Black,510,33,16830,,,,
772,,,,43080,,,,
773,Upper Cover 70 New,567,36,20412,8/24/2013,,,
774,Back  Cover  70,504,30,15120,,,,
775,Housing  70 blue,839,10,8390,,,,
776,,,,43922,,,,
777,Upper cover window,655,36,23580,8/27/2013,,,
778,Back  Cover  70,154,30,4620,,,,
779,upper cover window,242,36,8712,,,,
780,Back  Cover  70,763,30,22890,,,,
781,Housing  70 Black,1040,10,10400,,,,
782,,,,70202,,,,
783,Upper Cover Window,558,36,20088,8/28/2013,,,
784,Housing  70 Black,284,10,2840,,,,
785,,,,22928,,,,
786,Upper Cover window,461,36,16596,8/29/2013,,,
787,Back  Cover  70,228,30,6840,,,,
788,Housing  70 black,290,10,2900,,,,
789,,,,26336,,,,
790,Upper Cover window,574,36,20664,8/30/2013,,,
791,Back  Cover  70,204,30,6120,,,,
792,,,,26784,,,,
793,Upper Cover window,415,36,14940,8/31/2013,,,
794,Back  Cover  70,982,30,29460,,,,
795,Housing  70 black,684,10,6840,,,,
796,,,,51240,,,,
797,Upper cover 70 New,260,36,9360,9/2/2013,,,
798,upper Cover window,297,36,10692,,,,
799,Back  Cover  70,543,30,16290,,,,
800,Housing  70 blue,518,10,5180,,,,
801,Dial Blank sohrab JS,400,12,4800,,,,
802,Rubber boot 125,200,1,200,,,,
803,,,,46522,,,,
804,Upper Cover 70 new,475,36,17100,9/3/2013,,,
805,back  Cover  70,639,30,19170,,,,
806,Housing 70 blue,223,10,2230,,,,
807,,,,38500,,,,
808,Upper Cover 70 New,402,36,14472,9/4/2013,,,
809,back  Cover  70,324,30,9720,,,,
810,,,,24192,,,,
811,Housing  70 Black,490,10,4900,9/5/2013,,,
812,back  Cover  70,583,30,17490,,,,
813,Housing  70 black,602,10,6020,,,,
814,back cover 125,100,20,2000,,,,
815,,,,30410,,,,
816,Upper Cover window,775,36,27900,9/6/2013,,,
817,Housing 70 Black,630,10,6300,,,,
818,,,,34200,,,,
819,Upper cover Window,500,36,18000,9/7/2013,,,
820,back  Cover  70,240,30,7200,,,,
821,Housing  70 Black,420,10,4200,,,,
822,,,,29400,,,,
823,Upper Cover window,378,36,13608,9/9/2013,,,
824,Housing 70 black,540,10,5400,,,,
825,,,,19008,,,,
826,Upper cover 70 New,641,36,23076,9/10/2013,,,
827,dial Blank 125,200,9,1800,,,,
828,,,,24876,,,,
829,Upper Cover Window,597,36,21492,9/11/2013,,,
830,Back  Cover  70,504,30,15120,,,,
831,Housing  70 Black,360,10,3600,,,,
832,,,,40212,,,,
833,Upper Cover Window,687,36,24732,9/12/2013,,,
834,Back  Cover  70,510,30,15300,,,,
835,Housing  70 Black,540,10,5400,,,,
836,Housing  70 blue,250,10,2500,,,,
837,Upper Cover soharb js,310,45,13950,,,,
838,Back Cover sohrab,300,20,6000,,,,
839,Housing sohrab,320,33,10560,,,,
840,,,,78442,,,,
841,back  Cover  70,726,30,21780,9/13/2013,,,
842,Housing  70 Black,540,10,5400,,,,
843,,,,27180,,,,
844,upper cover window,480,36,17280,9/16/2013,,,
845,Back  Cover  70,555,30,16650,,,,
846,Nest Red sohrab js,300,20,6000,,,,
847,,,,39930,,,,
848,Upper Cover window,560,36,20160,9/14/2013,,,
849,Upper Cover Window,363,36,13068,9/17/2013,,,
850,Upper Cover 70 New,152,36,5472,,,,
851,Back  Cover  70,778,30,23340,,,,
852,,,,41880,,,,
853,Back  Cover  70,1386,30,41580,9/18/2013,,,
854,Upper Cover Window,771,36,27756,9/19/2013,,,
855,Housing  70 Black,300,10,3000,,,,
856,,,,30756,,,,
857,Upper Cover Window,74,36,2664,9/20/2013,,,
858,Back  Cover  70,714,30,21420,,,,
859,Housing  70 Black,1080,10,10800,,,,
860,back cover 125,100,20,2000,,,,
861,,,,36884,,,,
862,Upper Cover Window,648,36,23328,9/21/2013,,,
863,Back  Cover  70,333,30,9990,,,,
864,Housing  70 Black,510,10,5100,,,,
865,back cover 125,100,20,2000,,,,
866,,,,40418,,,,
867,Upper Cover Window,604,36,21744,9/23/2013,,,
868,Back  Cover  70,564,30,16920,,,,
869,,,,38664,,,,
870,Upper Cover Window,618,36,22248,9/24/2013,,,
871,Back  Cover  70,336,30,10080,,,,
872,Housing  70 Black,500,10,5000,,,,
873,,,,37328,,,,
874,Upper Cover Window,304,36,10944,9/25/2013,,,
875,Back  Cover  70,466,30,13980,,,,
876,Housing  70 Black,355,10,3550,,,,
877,Housing  70 blue,360,10,3600,,,,
878,Nest Sohrab,340,20,6800,,,,
879,,,,38874,,,,
880,Upper Cover Window,450,36,16200,9/27/2013,,,
881,Back  Cover  70,582,30,17460,,,,
882,Housing  70 Black,530,10,5300,,,,
883,,,,38960,,,,
884,Upper cover Soharb js,417,45,18765,9/30/2013,,,
885,Upper Cover Window,408,36,14688,,,,
886,,,,33453,,,,
887,Upper Cover Window,608,36,21888,10/1/2013,,,
888,Dial Blank sohrab JS,1000,12,12000,10/2/2013,,,
889,Back  Cover  70,324,30,9720,,,,
890,Housing  70 Black,390,10,3900,,,,
891,,,,25620,,,,
892,Upper Cover Window,439,36,15804,10/3/2013,,,
893,Back  Cover  70,474,30,14220,,,,
894,Housing  70 Black,530,10,5300,,,,
895,,,,35324,,,,
896,Back  Cover  70,1016,30,30480,10/4/2013,,,
897,Housing  70,780,10,7800,,,,
898,,,,38280,,,,
899,Upper Cover Window,710,36,25560,10/5/2013,,,
900,Back  Cover  70,666,30,19980,,,,
901,Housing  70 Black,1016,10,10160,,,,
902,,,,55700,,,,
903,Upper Cover Window,243,36,8748,10/7/2013,,,
904,Back  Cover  70,696,30,20880,,,,
905,Housing  70 Black,654,10,6540,,,,
906,,,,36168,,,,
907,Upper Cover 70 New,568,36,20448,10/9/2013,,,
908,Upper Cover Window,580,36,20880,,,,
909,Back  Cover  70,542,30,16260,,,,
910,Housing  70 Black,488,10,4880,,,,
911,,,,62468,,,,
912,Upper Cover Window,728,36,26208,10/10/2013,,,
913,Back  Cover  70,555,30,16650,,,,
914,Housing  70 Black,630,10,6300,,,,
915,,,,49158,,,,
916,Upper Cover Window,812,36,29232,10/11/2013,,,
917,Back  Cover  70,533,30,15990,,,,
918,Housing  70 Black,360,10,3600,,,,
919,,,,48822,,,,
920,Upper Cover Window,1248,36,44928,10/12/2013,,,
921,Back  Cover  70,933,30,27990,,,,
922,Housing  70 Black,1152,10,11520,,,,
923,,,,84438,,,,
924,Upper Cover Window,170,36,6120,10/14/2013,,,
925,Upper Cover Zxmco,537,36,19332,,,,
926,Back  Cover  70,709,30,21270,,,,
927,Housing 70 Black,1232,10,12320,,,,
928,upper Cover Soharb js,240,45,10800,,,,
929,housing sohrab,250,33,8250,,,,
930,Nest Sohrab,300,20,6000,,,,
931,,,,84092,,,,
932,Upper Cover Window,752,36,27072,10/24/2013,,,
933,Back  Cover  70,600,30,18000,,,,
934,Back  Cover  70 Hole,849,30,25470,,,,
935,Housing  70 Black,774,10,7740,,,,
936,,,,78282,10/26/2013,,,
937,Upper Cover Window,752,36,27072,,,,
938,Back  Cover  70,771,30,23130,,,,
939,Housing  70 Black,825,10,8250,,,,
940,,,,58452,,,,
941,Upper Cover Window,252,36,9072,10/28/2013,,,
942,Back  Cover  70,512,30,15360,,,,
943,Housing  70 Black,530,10,5300,,,,
944,,,,29732,,,,
945,Upper Cover Window,728,36,26208,10/30/2013,,,
946,Upper Cover Window,539,36,19404,11/2/2013,,,
947,Back  Cover  70,957,30,28710,,,,
948,Housing  70 Black,810,10,8100,,,,
949,,,,56214,,,,
950,Upper Cover Window,1150,36,41400,11/5/2013,,,
951,Housing 70 Black,1100,10,11000,,,,
952,,,,52400,,,,
953,Upper Cover Window,358,36,12888,11/6/2013,,,
954,Back  Cover  70,696,30,20880,,,,
955,Housing  70 Black,514,10,5140,,,,
956,,,,38908,,,,
957,Upper Cover Window,731,36,26316,11/7/2013,,,
958,Back  Cover  70,222,30,6660,,,,
959,Housing  70 Black,540,10,5400,,,,
960,,,,38376,,,,
961,Upper Cover Soharb js,509,45,22905,11/8/2013,,,
962,back Cover sohrab,700,20,14000,,,,
963,nest sohrab js,500,20,10000,,,,
964,Back  Cover  70,1011,30,30330,,,,
965,Housing  70 Black,540,10,5400,,,,
966,,,,82635,,,,
967,Upper Cover Window,873,36,31428,11/11/2013,,,
968,Back  Cover  70,543,30,16290,,,,
969,Housing  70 Black,555,10,5550,,,,
970,Housing Sohrab,200,33,6600,,,,
971,Dial Blank Sohrab JS,1000,12,12000,,,,
972,,,,71868,,,,
973,Upper Cover Window,816,36,29376,11/12/2013,,,
974,Housing Sohrab,511,33,16863,,,,
975,,,,46239,,,,
976,Upper Cover Window,412,36,14832,11/14/2013,,,
977,Back  Cover  70,1029,30,30870,,,,
978,Housing  70 Black,1040,10,10400,,,,
979,,,,56102,,,,
980,Upper Cover Window,745,36,26820,11/19/2013,,,
981,Back  Cover  70,461,30,13830,,,,
982,Housing  70 Black,420,10,4200,,,,
983,,,,44850,,,,
984,Upper Cover Window,491,36,17676,11/21/2013,,,
985,Back  Cover  70,1013,30,30390,,,,
986,Housing  70 Black,1032,10,10320,,,,
987,,,,58386,,,,
988,Upper Cover Window,636,36,22896,11/22/2013,,,
989,Back  Cover  70,744,30,22320,,,,
990,Housing  70 Black,756,10,7560,,,,
991,,,,52776,,,,
992,Cover set 125 New,200,125,25000,11/23/2013,,,
993,Upper Cover Window,657,36,23652,11/25/2013,,,
994,Housing  70 Black,786,10,7860,,,,
995,dial blank 125 ,400,9,3600,,,,
996,,,,35112,,,,
997,Upper Cover Window,533,36,19188,11/28/2013,,,
998,Back  Cover  70,915,30,27450,,,,
999,Housing  70 Black,390,10,3900,,,,
1000,,,,50538,,,,
1001,Upper Cover Window,813,36,29268,11/29/2013,,,
1002,Back  Cover  70,678,30,20340,,,,
1003,Housing  70 Black,500,10,5000,,,,
1004,,,,54608,,,,
1005,Upper Cover Window,449,36,16164,12/2/2013,,,
1006,Back  Cover  70,849,30,25470,,,,
1007,Housing  70 Black,540,10,5400,,,,
1008,,,,47034,,,,
1009,Cover set 125 ,200,135,27000,12/3/2013,,,
1010,Upper cover 125,50,65,3250,,,,
1011,Rubber boot 125,500,1,500,,,,
1012,,,,30750,,,,
1013,Upper Cover Window,228,36,8208,12/4/2013,,,
1014,Back  Cover  70,549,30,16470,,,,
1015,Housing  70 Black,460,10,4600,,,,
1016,,,,29278,,,,
1017,Upper Cover Window,336,36,12096,12/5/2013,,,
1018,Back  Cover  70,1100,30,33000,,,,
1019,Housing  70 Black,1274,10,12740,,,,
1020,,,,57836,,,,
1021,dial Blank 125,400,9,3600,12/6/2013,,,
1022,Upper Cover 70 New,624,36,22464,,,,
1023,Upper Cover Window,242,36,8712,,,,
1024,Back  Cover  70,565,30,16950,,,,
1025,Housing  70,722,10,7220,,,,
1026,,,,58946,,,,
1027,Upper Cover Window,578,36,20808,12/9/2013,,,
1028,Upper Cover Soharb js,343,45,15435,,,,
1029,Back Cover Sohrab,400,20,8000,,,,
1030,housing Sohrab,403,33,13299,,,,
1031,Nest Sohrab,400,20,8000,,,,
1032,,,,65542,,,,
1033,Upper Cover Window,246,36,8856,12/10/2013,,,
1034,Back  Cover  70,333,30,9990,,,,
1035,Housing  70 Black,707,10,7070,,,,
1036,,,,25916,,,,
1037,Upper Cover Window,522,36,18792,12/12/2013,,,
1038,Back  Cover  70,351,30,10530,,,,
1039,dial Blank 125,400,9,3600,,,,
1040,,,,32922,,,,
1041,Upper Cover Window,509,36,18324,12/13/2013,,,
1042,Back  Cover  70,555,30,16650,,,,
1043,Housing  70 Black,1190,10,11900,,,,
1044,,,,46874,,,,
1045,dial Blank 125,800,9,7200,12/16/2013,,,
1046,Upper Cover Window,441,36,15876,,,,
1047,Upper Cover 70 New,530,36,19080,,,,
1048,Back  Cover  70,1110,30,33300,,,,
1049,Housing  70 Black,720,10,7200,,,,
1050,,,,82656,,,,
1051,Back  Cover  70,1122,30,33660,12/17/2013,,,
1052,Housing  70 Black,1040,10,10400,,,,
1053,,,,44060,,,,
1054,Upper Cover  Window ,551,36,19836,12/18/2013,,,
1055,Upper Cover 70 New,401,36,14436,,,,
1056,Back  Cover  70,909,30,27270,,,,
1057,Housing  70 Black,760,10,7600,,,,
1058,,,,69142,,,,
1059,Upper Cover Window,794,36,28584,12/19/2013,,,
1060,Back  Cover  70,450,30,13500,,,,
1061,Housing  70 Black,860,10,8600,,,,
1062,,,,50684,,,,
1063,Upper Cover Window,850,36,30600,12/21/2013,,,
1064,Back  Cover  70,342,30,10260,,,,
1065,Housing  70 Black,320,10,3200,,,,
1066,,,,44060,,,,
1067,dial Blank ravi,200,12,2400,12/26/2013,,,
1068,Upper Cover Window,734,36,26424,,,,
1069,Back  Cover  70,378,30,11340,,,,
1070,Housing  70,360,10,3600,,,,
1071,,,,43764,,,,
1072,Upper Cover Window,703,36,25308,12/28/2013,,,
1073,Back  Cover  70,417,30,12510,,,,
1074,Housing  70 Black,275,10,2750,,,,
1075,,,,40568,,,,
1076,Upper Cover Window,969,36,34884,12/30/2013,,,
1077,Back  Cover  70,947,30,28410,,,,
1078,Housing  70 Black,1000,10,10000,,,,
1079,,,,73294,,,,
1080,Upper Cover Window,776,36,27936,1/3/2014,,,
1081,Back  Cover  70,1041,30,31230,,,,
1082,Housing  70 Black,760,10,7600,,,,
1083,,,,66766,,,,
1084,Upper Cover Window,709,36,25524,1/6/2014,,,
1085,Back  Cover  70,378,30,11340,,,,
1086,Housing  70 Black,588,10,5880,,,,
1087,cover set united 100cc,16,135,2160,,,,
1088,,,,44904,,,,
1089,cover set united 100cc,215,135,29025,1/9/2014,,,
1090,Upper Cover Window,710,36,25560,,,,
1091,Back  Cover  70,702,30,21060,,,,
1092,Housing  70 Black,720,10,7200,,,,
1093,,,,82845,,,,
1094,Cover set 125 New,100,125,12500,1/13/2014,,,
1095,Upper Cover Window,1201,36,43236,,,,
1096,Back  Cover  70,743,30,22290,,,,
1097,Housing  70 Black,1070,10,10700,,,,
1098,,,,88726,,,,
1099,Upper Cover Window,504,36,18144,1/17/2014,,,
1100,Back  Cover  70,528,30,15840,,,,
1101,Housing  70 Black,640,10,6400,,,,
1102,,,,40384,,,,
1103,Upper Cover Unique,499,36,17964,1/18/2014,,,
1104,Upper Cover 70 New,509,36,18324,,,,
1105,Upper Cover Window,583,36,20988,,,,
1106,Back  Cover  70,683,30,20490,,,,
1107,Back  Cover  70 Hole,1044,30,31320,,,,
1108,Housing  70,460,10,4600,,,,
1109,Housing  70 Black,350,10,3500,,,,
1110,,,,117186,,,,
1111,Upper Cover 70 New,679,36,24444,1/18/2014,,,
1112,Upper Cover  Window ,330,36,11880,,,,
1113,Back  Cover  70,315,30,9450,,,,
1114,upper cover soharb js,300,45,13500,,,,
1115,housing sohrab,300,33,9900,,,,
1116,back  Cover Sohrab js,300,20,6000,,,,
1117,Nest sohrab,300,20,6000,,,,
1118,Cover set 125 ,300,125,37500,,,,
1119,Rubber boot 125,600,1,600,,,,
1120,,,,119274,,,,
1121,Upper Cover Window,217,36,7812,1/20/2014,,,
1122,Back  Cover  70,669,30,20070,,,,
1123,Housing  70 Black,640,10,6400,,,,
1124,,,,34282,,,,
1125,Upper Cover Window,529,36,19044,1/23/2014,,,
1126,Back  Cover  70,719,30,21570,,,,
1127,Housing  70 Black,672,10,6720,,,,
1128,Upper cover soharb js,200,45,9000,,,,
1129,Back  Cover Sohrab js,200,20,4000,,,,
1130,Housing Sohrab,200,33,6600,,,,
1131,Nest sohrab,200,20,4000,,,,
1132,,,,70934,,,,
1133,Upper Cover Window,1011,36,36396,1/25/2014,,,
1134,Back  Cover  70,920,30,27600,,,,
1135,Housing  70 Black,960,10,9600,,,,
1136,,,,73596,,,,
1137,Upper Cover Window,768,36,27648,1/27/2014,,,
1138,Back  Cover  70,849,30,25470,,,,
1139,Housing  70 Black,631,10,6310,,,,
1140,,,,59428,,,,
1141,Upper Cover Window,656,36,23616,1/29/2014,,,
1142,Back  Cover  70,570,30,17100,,,,
1143,Housing  70 Black,644,10,6440,,,,
1144,,,,47156,,,,
1145,Upper Cover Window,552,36,19872,1/31/2014,,,
1146,Back  Cover  70,668,30,20040,,,,
1147,Housing  70 Black,668,10,6680,,,,
1148,,,,46592,,,,
1149,Upper Cover Window,605,36,21780,2/3/2014,,,
1150,Back  Cover  70,687,30,20610,,,,
1151,Housing  70 Black,675,10,6750,,,,
1152,,,,49140,,,,
1153,Cover set 125 New,100,125,12500,2/4/2014,,,
1154,upper Cover Soharb js,220,45,9900,,,,
1155,Housing  Sohrab Js,220,33,7260,,,,
1156,Nest Sohrab,220,20,4400,,,,
1157,back Cover Sohrab,220,20,4400,,,,
1158,Upper Cover Window,806,36,29016,,,,
1159,Upper Cover  Unique,649,36,23364,,,,
1160,Back  Cover  70,342,30,10260,,,,
1161,Housing  70 Black,360,10,3600,,,,
1162,,,,104700,,,,
1163,Back  Cover  70,690,30,20700,2/6/2014,,,
1164,Housing  70,660,10,6600,,,,
1165,,,,27300,,,,
1166,Upper Cover Window,528,36,19008,2/8/2014,,,
1167,Housing  70 Black,705,10,7050,,,,
1168,,,,26058,,,,
1169,Upper Cover  Unique,616,36,22176,2/11/2014,,,
1170,Back  Cover  70,1256,30,37680,,,,
1171,Housing  70 Black,1020,10,10200,,,,
1172,Housing Sohrab,340,33,11220,,,,
1173,Dial Blank sohrab JS,500,12,6000,,,,
1174,,,,87276,,,,
1175,Upper Cover 70 New,661,36,23796,2/12/2014,,,
1176,Upper Cover  Window ,607,36,21852,,,,
1177,Back  Cover  70,1148,30,34440,,,,
1178,Housing  70 Black,821,10,8210,,,,
1179,,,,88298,,,,
1180,Upper Cover  Window ,188,36,6768,2/13/2014,,,
1181,Back  Cover  70,1218,30,36540,,,,
1182,Housing  70 Black,1044,10,10440,,,,
1183,,,,53748,,,,
1184,Upper Cover 70 New,674,36,24264,2/14/2014,,,
1185,Upper Cover  Window ,564,36,20304,,,,
1186,Back  Cover  70,821,30,24630,,,,
1187,Housing  70 Black,822,10,8220,,,,
1188,,,,77418,,,,
1189,Upper Cover  Window ,806,36,29016,2/17/2014,,,
1190,Back  Cover  70,1264,30,37920,,,,
1191,Housing  70 Black,854,10,8540,,,,
1192,,,,75476,,,,
1193,Upper Cover  Window ,1058,36,38088,2/19/2014,,,
1194,Back  Cover  70,1126,30,33780,,,,
1195,Housing  70 Black,744,10,7440,,,,
1196,,,,79308,,,,
1197,Upper Cover Soharb js,316,45,14220,2/22/2014,,,
1198,Upper Cover  Window ,720,36,25920,,,,
1199,Back  Cover  70,1055,30,31650,,,,
1200,Housing  70 Black,348,10,3480,,,,
1201,,,,75270,,,,
1202,Back  Cover  70,455,30,13650,2/24/2014,,,
1203,Housing  70 Black,528,10,5280,,,,
1204,Nest Red sohrab js,370,20,7400,,,,
1205,Back  Cover sohrab js,320,20,6400,,,,
1206,,,,32730,,,,
1207,Cover set 125 New,100,125,12500,2/25/2014,,,
1208,Upper Cover  Window ,264,36,9504,,,,
1209,,,,22004,,,,
1210,Upper Cover  Window ,356,36,12816,2/27/2014,,,
1211,Back  Cover  70,450,30,13500,,,,
1212,Housing  70 Black,678,10,6780,,,,
1213,,,,33096,,,,
1214,Upper Cover  Window ,1019,36,36684,3/1/2014,,,
1215,Back  Cover  70,205,30,6150,,,,
1216,Housing  70 Black,998,10,9980,,,,
1217,,,,52814,,,,
1218,Cover set 125 ,200,125,25000,3/4/2014,,,
1219,Rubber boot 125,600,1,600,,,,
1220,dial Blank 125,1000,9,9000,,,,
1221,Dial blank sohrab JS,1000,12,12000,,,,
1222,Upper cover soharb js,348,45,15660,,,,
1223,housing sohrab,330,33,10890,,,,
1224,back cover sohrab,320,20,6400,,,,
1225,nest sohrab,360,20,7200,,,,
1226,Upper Cover 70 New,564,36,20304,,,,
1227,Upper Cover Window,350,36,12600,,,,
1228,Back  Cover  70,793,30,23790,,,,
1229,Housing  70 Black,461,10,4610,,,,
