Sr.,Particulars,Qty,Rate,Total,Date,Company,,
2252,uper cover window,233,36,8388,29-7-2015,,,
2253,Back Cover 70,210,30,6300,,,,
2254,uper cover window,680,36,24480,,,,
2255,Back Cover 70,333,30,9990,,,,
2256,Hosing  70 black,556,10,5560,,,,
2257,,,,54718,,,,
2258,uper cover window,429,36,15444,31-7-2015,,,
2259,Back Cover 70,768,30,23040,,,,
2260,Hosing  70 black,874,10,8740,,,,
2261,,,,47224,,,,
2262,uper cover window,246,36,8856,1/8/2015,,,
2263,Back Cover 70,555,30,16650,,,,
2264,Hosing  70 black,789,10,7890,,,,
2265,Cover set 125,200,125,25000,,,,
2266,,,,58396,,,,
2267,uper cover window,513,36,18468,3/8/2015,,,
2268,Back Cover 70,322,30,9660,,,,
2269,Hosing  70 black,456,10,4560,,,,
2270,Cover set 125,100,125,12500,,,,
2271,,,,45188,,,,
2272,uper cover window,501,36,18036,5/8/2015,,,
2273,Back Cover 70,571,30,17130,,,,
2274,Hosing  70 black,542,10,5420,,,,
2275,,,,40586,,,,
2276,uper cover window,520,36,18720,7/8/2015,,,
2277,Back Cover 70,993,30,29790,,,,
2278,Hosing  70 black,1004,10,10040,,,,
2279,,,,58550,,,,
2280,uper cover window,547,36,19692,10/8/2015,,,
2281,Back Cover 70,639,30,19170,,,,
2282,Hosing  70 black,634,10,6340,,,,
2283,,,,45202,,,,
2284,uper cover unique,314,36,11304,13-8-2015,,,
2285,uper cover new model 70,647,36,23292,,,,
2286,Back Cover 70,1072,30,32160,,,,
2287,Hosing  70 black,973,10,9730,,,,
2288,,,,76486,,,,
2289,uper cover window,980,36,35280,18-8-2015,,,
2290,uper cover unique,454,36,16344,,,,
2291,Back Cover 70,998,30,29940,,,,
2292,Hosing  70 black,694,10,6940,,,,
2293,,,,88504,,,,
2294,uper cover window,270,36,9720,20-8-2015,,,
2295,Back Cover 70,621,30,18630,,,,
2296,Hosing  70 black,268,10,2680,,,,
2297,,,,31030,,,,
2298,uper cover window,314,36,11304,19-8-2015,,,
2299,uper cover window,503,36,18108,22-8-2015,,,
2300,Back Cover 70,547,30,16410,,,,
2301,Hosing  70 black,456,10,4560,,,,
2302,,,,39078,,,,
2303,uper cover new model70,699,36,25164,24-8-2015,,,
