Sr.,Particulars,Qty,Rate,Total,Date,Company ,,,,,,,,,
1801,Back Cover 70,111,30,3330,,,,,,,,,,,
1802,Hosing 70Black,720,8,5760,,,,,,,,,,,
1803,,,,35830,,,,,,,,,,,
1804,Back Cover 70,671,30,20130,4/5/2015,,,,,,,,,,
1805,Back Cover 70,1070,30,32100,7/5/2015,,,,,,,,,,
1806,Hosing 70Black,530,8,4240,,,,,,,,,,,
1807,hosing qinque,123,35,4305,,,,,,,,,,,
1808,,,,40645,,,,,,,,,,,
1809,upper Cover  Qinque,896,45,40320,6/5/2015,,,,,,,,,,
1810,hosing qinque,475,35,16625,,,,,,,,,,,
1811,Upper Cover  window,908,35,31780,,,,,,,,,,,
1812,Hosing 70Black,880,8,7040,,,,,,,,,,,
1813,,,,95765,,,,,,,,,,,
1814,Back Cover 70,204,30,6120,8/5/2015,,,,,,,,,,
1815,Upper Cover  window,529,35,18515,9/5/2015,,,,,,,,,,
1816,Back Cover 70,525,30,15750,,,,,,,,,,,
1817,Hoiusing 70,540,8,4320,,,,,,,,,,,
1818,,,,38585,,,,,,,,,,,
1819,Upper Cover  window,1013,35,35455,11/5/2015,,,,,,,,,,
1820,Back Cover 70,1035,30,31050,,,,,,,,,,,
1821,Hosing 70Black,950,8,7600,,,,,,,,,,,
1822,,,,74105,,,,,,,,,,,
1823,Upper Cover  window,512,35,17920,18-5-2015,,,,,,,,,,
1824,Back Cover 70,528,30,15840,,,,,,,,,,,
1825,Hosing 70Black,555,8,4440,,,,,,,,,,,
1826,,,,38200,,,,,,,,,,,
1827,Upper Cover  window,570,35,19950,21-5-2015,,,,,,,,,,
1828,Back Cover 70,539,30,16170,,,,,,,,,,,
1829,Hosing 70Black,540,8,4320,,,,,,,,,,,
