Sr.,Particulars,Qty,Rate,Total,Date,Company
1816,back  Cover shurab js ,200,20,4000,,
1817,housing shurab ,256,35,8960,,
1818,,,,33930,,
1819,dial  Blank ravi,500,12,6000,23-6-2015,
1820,dial  Blank ravi,300,12,3600,24-6-2015,
1821,upper  cover  125 new model,500,70,35000,29-6-2015,
1822,back  Cover 125,500,20,10000,,
1823,,,,45000,,
1824,housing qinque,500,35,17500,29-6-2015,
1825,back  Cover qinque,500,20,10000,,
1826,nest qinque,500,20,10000,,
1827,,,,37500,,
1828,dial  Blank master ,500,8,4000,30-6-2015,
1829,dial  Blank ravi,500,12,6000,1/7/2015,
1830,upper  cover shurab js jick,501,45,22545,2/7/2015,
1831,nest small Riskshah,1035,5,5175,,
1832,nest Large Rikkshaw ,217,10,2170,,
1833,rUBBER RING outer large,850,5,4250,,
1834,rUBBER RING glas,865,10,8650,,
1835,rUBBER RING outer small ,2000,5,10000,,
1836,rUBBER RING SMALL INNER,1200,5,6000,,
1837,,,,58790,,
1838,cove set suzuki,5,125,625,25-7-2015,
1839,housing small Rikshaw,400,17,6800,1/8/2015,
1840,housing medium Rikshaw,522,17,8874,,
1841,,,,15674,,
1842,housing small Rikshaw,200,17,3400,4/8/2015,
1843,houing sohrab js,200,35,7000,4/8/2015,
1844,dial  Blank rAVI,500,12,6000,5/8/2015,
1845,dial  Blank rAVI,800,12,9600,6/8/2015,
1846,dial  Blank rAVI,500,12,6000,13-8-2015,
1847,Upper  cover    new 70  Model,370,38,14060,20-8-2015,
1848,back  Cover gair counter,370,32,11840,,
1849,housing gair counter ,130,9,1170,,
1850,,,,27070,,
1851,dial  Blank rAVI,520,12,6240,17-8-2015,
1852,dial  Blank rAVI,100,12,1200,28-8-2015,
1853,dial  Blank master ,250,8,2000,31-8-2015,
1854,housing large riskshaw,1000,25,25000,8/9/2015,
1855,housing small Rikshaw,944,17,16048,,
1856,housing medium Rikshaw,886,17,15062,,
1857,,,,56110,,
1858,Cover Set 125 New model,500,125,62500,8/9/2015,
1859,nest Large Rikkshaw,1000,10,10000,,
1860,rUBBER RING SMALL oUTTER,1100,5,5500,,
1861,,,,78000,,
1862,cover Set ravi,10,125,1250,12/9/2015,
1863,cover Set suzuki ,10,125,1250,,
1864,RUBBER RING SMALL oUTTER,900,5,4500,,
1865,,,,7000,,
1866,dial  Blank rAVI,500,12,6000,9/9/2015,
1867,Dial  Blank 70,300,12,3600,12/9/2015,
1868,rUBBER RING large outter,500,5,2500,19-9-2015,
1869,rUBBER RING large outter,350,5,1750,22-9-2015,
1870,dial  Blank qinque,500,12,6000,8/10/2015,
1871,Nest qinque,200,20,4000,10/10/2015,
1872,dial  Blank master ,300,12,3600,10/10/2015,
1873,dial  Blank rAVI,500,12,6000,,
1874,,,,9600,,
1875,rUBBER RING large outter,700,5,3500,19-10-2015,
1876,rUBBER RING SMALL INNER,1100,5,5500,,
1877,nest small Riskshah,700,5,3500,,
1878,,,,12500,,
1879,dial  Blank rAVI 100cc,200,12,2400,21-10-2015,
1880,dial  Blank 125  ,2000,8,16000,17-11-2015,
1881,dial  Blank rAVI,500,12,6000,20-11-2015,
1882,dial  Blank rAVI,500,12,6000,23-11-2015,
1883,dial  Blank rAVI,300,12,3600,25-11-2015,
1884,Cove set new model 125,150,125,18750,26-11-2015,
1885,cove set old model 125,150,125,18750,,
1886,,,,37500,,
1887,Cove set new model 125,500,125,62500,1/12/2015,
1888,,,,0,,
1889,,,,0,,
1890,,,,0,,
1891,,,,0,,
1892,,,,0,,
1893,,,,0,,
1894,,,,0,,
1895,,,,0,,
1896,,,,0,,
1897,,,,0,,
1898,,,,0,,
1899,,,,0,,
1900,,,,0,,
1901,,,,0,,
1902,,,,0,,
1903,,,,0,,
1904,,,,0,,
1905,,,,0,,
1906,,,,0,,
1907,,,,0,,
1908,,,,0,,
1909,,,,0,,
1910,,,,0,,
1911,,,,0,,
1912,,,,0,,
1913,,,,0,,
1914,,,,0,,
1915,,,,0,,
1916,,,,0,,
1917,,,,0,,
1918,,,,0,,
1919,,,,0,,
1920,,,,0,,
1921,,,,0,,
1922,,,,0,,
1923,,,,0,,
1924,,,,0,,
1925,,,,0,,
1926,,,,0,,
1927,,,,0,,
1928,,,,0,,
1929,,,,0,,
1930,,,,0,,
1931,,,,0,,
1932,,,,0,,
1933,,,,0,,
1934,,,,0,,
1935,,,,0,,
1936,,,,0,,
1937,,,,0,,
1938,,,,0,,
1939,,,,0,,
1940,,,,0,,
1941,,,,0,,
1942,,,,0,,
1943,,,,0,,
1944,,,,0,,
1945,,,,0,,
1946,,,,0,,
1947,,,,0,,
1948,,,,0,,
1949,,,,0,,
1950,,,,0,,
1951,,,,0,,
1952,,,,0,,
1953,,,,0,,
1954,,,,0,,
1955,,,,0,,
1956,,,,0,,
1957,,,,0,,
1958,,,,0,,
1959,,,,0,,
1960,,,,0,,
1961,,,,0,,
1962,,,,0,,
1963,,,,0,,
1964,,,,0,,
1965,,,,0,,
1966,,,,0,,
1967,,,,0,,
1968,,,,0,,
1969,,,,0,,
1970,,,,0,,
1971,,,,0,,
1972,,,,0,,
1973,,,,0,,
1974,,,,0,,
1975,,,,0,,
1976,,,,0,,
1977,,,,0,,
1978,,,,0,,
1979,,,,0,,
1980,,,,0,,
1981,,,,0,,
1982,,,,0,,
1983,,,,0,,
1984,,,,0,,
1985,,,,0,,
1986,,,,0,,
1987,,,,0,,
1988,,,,0,,
1989,,,,0,,
1990,,,,0,,
1991,,,,0,,
1992,,,,0,,
1993,,,,0,,
1994,,,,0,,
1995,,,,0,,
1996,,,,0,,
1997,,,,0,,
1998,,,,0,,
1999,,,,0,,
2000,,,,0,,
2001,,,,0,,
2002,,,,0,,
2003,,,,0,,
2004,,,,0,,
2005,,,,0,,
2006,,,,0,,
2007,,,,0,,
2008,,,,0,,
2009,,,,0,,
2010,,,,0,,
2011,,,,0,,
2012,,,,0,,
2013,,,,0,,
2014,,,,0,,
2015,,,,0,,
2016,,,,0,,
2017,,,,0,,
2018,,,,0,,
2019,,,,0,,
2020,,,,0,,
2021,,,,0,,
2022,,,,0,,
2023,,,,0,,
2024,,,,0,,
2025,,,,0,,
2026,,,,0,,
2027,,,,0,,
2028,,,,0,,
2029,,,,0,,
2030,,,,0,,
2031,,,,0,,
2032,,,,0,,
2033,,,,0,,
2034,,,,0,,
2035,,,,0,,
2036,,,,0,,
2037,,,,0,,
2038,,,,0,,
2039,,,,0,,
2040,,,,0,,
2041,,,,0,,
2042,,,,0,,
2043,,,,0,,
2044,,,,0,,
2045,,,,0,,
2046,,,,0,,
2047,,,,0,,
2048,,,,0,,
2049,,,,0,,
2050,,,,0,,
2051,,,,0,,
2052,,,,0,,
2053,,,,0,,
2054,,,,0,,
2055,,,,0,,
2056,,,,0,,
2057,,,,0,,
2058,,,,0,,
2059,,,,0,,
2060,,,,0,,
2061,,,,0,,
2062,,,,0,,
2063,,,,0,,
2064,,,,0,,
2065,,,,0,,
2066,,,,0,,
2067,,,,0,,
2068,,,,0,,
2069,,,,0,,
2070,,,,0,,
2071,,,,0,,
2072,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
