Sr.,Particulars,Qty,Rate,Total,Date,Company
232,Upper Cover Unique,240,36,8640,,
233,,,,36972,,
234,Dial Blank 125,1000,9,9000,10-Oct-12,
235,Upper cover Unique,157,36,5652,,
236,Upper Cover Window,758,36,27288,,
237,Back Cover 70,255,30,7650,,
238,Back Cover 70 Hole,426,30,12780,,
239,Housing Ravi,100,10.9,1090,,
240,,,,63460,,
241,Upper Cover Window,453,36,16308,11-Oct-12,
242,Back Cover 70 Hole,1049,30,31470,,
243,Houing 70 Black,240,9,2160,,
244,Cover set Ravi,112,125,14000,,
245,,,,63938,,
246,Upper Cover Window,473,36,17028,12-Oct-12,
247,Upper Cover Unique,370,36,13320,,
248,Back Cover 70 Hole,1087,30,32610,,
249,,,,62958,,
250,Upper cover Unique,426,36,15336,13-Oct-12,
251,Upper Cover Window,628,36,22608,,
252,Back Cover 70,330,30,9900,,
253,Back Cover 70 Hole,782,30,23460,,
254,,,,71304,,
255,Dial Blank Rikshaw,500,9,4500,16-Oct-12,
256,dial Blank 125ia,174,,0,,
257,Upper Cover unique,174,36,6264,,
258,Uupper Cover window,860,36,30960,,
259,Cover  set 125,100,125,12500,,
260,,,,54224,,
261,upper Cover Window,157,36,5652,18-Oct-12,
262,Housing 125 White,107,,0,,
263,Cover Set 125,300,125,37500,,
264,Upper Cover Window,1153,36,41508,,
265,,,,84660,,
266,Upper Cover Window,222,36,7992,20-Oct-12,
267,Back Cover 70 gare Counter,222,30,6660,,
268,Cove set 125,260,125,32500,,
269,,,,47152,,
270,Upper Cover 70,980,36,35280,22-Oct-12,
271,Cove set 125,300,125,37500,,
272,,,,72780,,
273,Upper Cover Window,804,36,28944,31-Oct-12,
274,Dial Blank 70,806,9,7254,1-Nov-12,
275,Upper cover 70,536,36,19296,,
276,Upper Cover unique,548,36,19728,,
277,Back Cover 70 Gare Counter,553,30,16590,,
278,,,,62868,,
279,Dial Blank 70,500,9,4500,2-Nov-12,
280,Dial Blank 125,1000,9,9000,,
281,Houing 70 ,640,9,5760,,
282,Cover  set 125,500,125,62500,,
283,,,,81760,,
284,Upper Cover Window,1014,36,36504,5-Nov-12,
285,back cover 70,691,30,20730,,
286,,,,57234,,
287,Upper cover 70 New,508,36,18288,7-Nov-12,
288,upper Cover window,527,36,18972,,
289,back Cover 70,1036,30,31080,,
290,,,,68340,,
291,Upper Cover Window,1013,36,36468,15-Nov-12,
292,Back Cover 70,789,30,23670,,
293,,,,60138,,
294,Dial Blank Master,500,8,4000,,
295,Housing Rikshaw small,370,17,6290,,
296,Nest Rikshaw Small,400,5,2000,,
297,,,,12290,,
298,Dial Blank 125,300,9,2700,27-Nov-12,
299,Cover Set 125,200,125,25000,,
300,Cover Set Ravi 100cc,160,125,20000,,
301,upper cover window,521,36,18756,,
302,,,,66456,,
303,Upper cover Window,1019,36,36684,28-Nov-12,
304,Upper Cover Unique,516,36,18576,,
305,Back cover 70,315,30,9450,,
306,,,,64710,,
307,Upper cover Window,564,36,20304,29-Nov-12,
308,Upper Cover Unique,300,36,10800,,
309,Back cover 70 Hole,854,30,25620,,
310,,,,56724,,
311,Cover Set 125,330,125,41250,30-Nov-12,
312,Upper Cover Window,150,36,5400,,
313,Back Cover 70,385,30,11550,,
314,Back Cover 70 Hole,574,30,17220,,
315,,,,75420,,
316,Upper cover window,814,36,29304,3-Dec-12,
317,Upper Cover unique,314,36,11304,,
318,Cover  set 125,400,125,50000,,
319,,,,90608,,
320,Dial Blank Qinque,320,12,3840,8-Dec-12,
321,Upper Cover 70 unique,568,36,20448,,
322,upper Cover window,807,36,29052,,
323,back cover 70 Hole,190,30,5700,,
324,Back Cover 70,204,30,6120,,
325,,,,65160,,
326,Upper Cover Window,524,36,18864,12-Dec-12,
327,Upper cover Unique,532,36,19152,,
328,back cover 70,1044,30,31320,,
329,Nest Rikshaw Small,700,5,3500,,
330,,,,72836,,
331,Upper Cover Window,711,36,25596,17-Dec-12,
332,Upper cover Unique,316,36,11376,,
333,Back Cover 70,720,30,21600,,
334,Back Cover 70 Hole,317,30,9510,,
335,,,,68082,,
336,Upper Cover 70 Unique,809,36,29124,18-Dec-12,
337,Back Cover 70,1052,30,31560,,
338,Houing 70 ,546,9,4914,,
339,,,,65598,,
340,Upper Cover window,492,36,17712,20-Dec-12,
341,back Cover 70,795,30,23850,,
342,Housing 70 Black,660,9,5940,,
343,,,,47502,,
344,Dial Blank 70,1000,9,9000,26-Dec-12,
345,Dial Blank 125,1000,8,8000,,
346,Upper Cover 70 new,533,36,19188,,
347,Back Cover 70 Hole,981,30,29430,,
348,Back Cover 70,473,30,14190,,
349,,,,79808,,
350,Upper Cover window,1019,36,36684,29-Dec-12,
351,Back Cover 70,998,30,29940,,
352,,,,66624,,
353,Dial Blank Qinque,540,12,6480,3-Jan-13,
